Venue, c1, c2, c3, c4, c5, c6, c7, c8
C LES 301,R1, R2,,,,,,
C LES 302,I2,,,,,,,
C LES 302,J1,,,,,,,
C LES 302,M3,,,,,,,
C LES 302,N1, N2,,,,,,
C LES 302,O1,,,,,,,
C LES 302,O2, O4,,,,,,
C LES 302,Q2,,,,,,,
C LES 302,T4,,,,,,,
C LES 304,H1,,,,,,,
C LES 304,I2, M3, M4,,,,,
C LES 304,J3, J4, C3, C4,,,,
C LES 304,K1, K2, C1, C2,,,,
C LES 304,L4, L1,,,,,,
C LES 304,M1, M2,,,,,,
C LES 304,M4,,,,,,,
C LES 304,P17,P18,,,,,,
C LES 304,R3, R4,,,,,,
C LES 304,T1,,,,,,,
C LES 305,H1,,,,,,,
C LES 305,I1,,,,,,,
C LES 305,I2,,,,,,,
C LES 305,I3,,,,,,,
C LES 305,J1,,,,,,,
C LES 305,N3,,,,,,,
C LES 305,O1, O2, R1, R2,,,,
C LES 305,Q2,,,,,,,
C LES 305,T3,,,,,,,
C LES 305,Z1,,,,,,,
C LES 305,Z2,,,,,,,
C LES 306,H4,,,,,,,
C LES 306,I1,,,,,,,
C LES 306,I2,,,,,,,
C LES 306,I3,,,,,,,
C LES 306,K1,,,,,,,
C LES 306,L2,,,,,,,
C LES 306,M1,,,,,,,
C LES 306,M2,,,,,,,
C LES 306,M3,,,,,,,
C LES 306,O2,,,,,,,
C LES 306,Q2,,,,,,,
C LES 306,R1,,,,,,,
C LES 306,R2,,,,,,,
C LES 306,T1,,,,,,,
C LES 306,Z1, Z2, Z3, Z4,,,,
C LES 307,J1,,,,,,,
C LES 307,J3, J4,,,,,,
C LES 307,O1, O2, C1, C2,,,,
C LES 307,Q4,,,,,,,
C LES 307,R1, R2,,,,,,
C LES 307,Z3, Z4,,,,,,
C LES 308,H1,,,,,,,
C LES 308,H2,,,,,,,
C LES 308,H4,,,,,,,
C LES 308,I1,,,,,,,
C LES 308,I3, I4,,,,,,
C LES 308,K1, K2,,,,,,
C LES 308,M3,,,,,,,
C LES 308,M4, T1,,,,,,
C LES 308,Q2,,,,,,,
C LES 308,S2,,,,,,,
C LES 309,J3, J4,,,,,,
C LES 309,K1, K2,,,,,,
C LES 309,N1, N2,,,,,,
C LES 309,O4,,,,,,,
C LES 309,P19,P20,,,,,,
C LES 309,Q3,,,,,,,
C LES 309,Z2, G4, Z3,,,,,
C LES 310,C3, C4,,,,,,
C LES 310,G1,,,,,,,
C LES 310,H3, H4,,,,,,
C LES 310,I3,,,,,,,
C LES 310,K1, K2,,,,,,
C LES 310,L2, R1,,,,,,
C LES 310,M1,,,,,,,
C LES 310,O1,,,,,,,
C LES 401,C1, C2, Q3, Q4,,,,
C LES 401,K1, K2, K3, K4,,,,
C LES 401,M1, M2, C1, C2,,,,
C LES 401,O1, O2, O3, O4,,,,
C LES 401,P6,P7,,,,,,
C LES 401,Q1, Q2, Q3, Q4,,,,
C LES 401,R3, R4,,,,,,
C LES 402,G1,,,,,,,
C LES 402,I1,,,,,,,
C LES 402,J1,,,,,,,
C LES 402,J2,,,,,,,
C LES 402,J3,,,,,,,
C LES 402,J4,,,,,,,
