Venue, c1, c2, c3, c4, c5, c6, c7, c8
D1 LAB 412,T4,,,,,,,
D1 LAB 412,Z1, Z2,,,,,,
D1 LAB 413,G1,,,,,,,
D1 LAB 413,H1,,,,,,,
D1 LAB 413,H3,,,,,,,
D1 LAB 413,H4,,,,,,,
D1 LAB 413,L2,,,,,,,
D1 LAB 413,M1,,,,,,,
D1 LAB 413,M4,,,,,,,
D1 LAB 413,O1,,,,,,,
D1 LAB 413,O2,,,,,,,
D1 LAB 413,Q1,,,,,,,
D1 LAB 413,Q3,,,,,,,
D1 LAB 413,Q4,,,,,,,
D1 LAB 413,T4,,,,,,,
D1 LAB 414,G2,,,,,,,
D1 LAB 414,J3, J4,,,,,,
D1 LAB 414,K2,,,,,,,
D1 LAB 414,M2,,,,,,,
D1 LAB 414,M3,,,,,,,
D1 LAB 414,N2,,,,,,,
D1 LAB 414,Q2,,,,,,,
D1 LAB 414,Q3,,,,,,,
D1 LAB 414,Q4,,,,,,,
D1 LAB 414,R1,,,,,,,
D1 LAB 414,R2,,,,,,,
D1 LAB 415,G1,,,,,,,
D1 LAB 415,G2,,,,,,,
D1 LAB 415,K2,,,,,,,
D1 LAB 415,L2,,,,,,,
D1 LAB 415,M1, T3,,,,,,
D1 LAB 415,N1,,,,,,,
D1 LAB 415,N2,,,,,,,
D1 LAB 415,O1,,,,,,,
D1 LAB 415,Q1,,,,,,,
D1 LAB 415,Q2,,,,,,,
D1 LAB 415,Q4,,,,,,,
D1 LAB 415,T4,,,,,,,
D1 LAB 416,H1,,,,,,,
D1 LAB 416,H2,,,,,,,
D1 LAB 416,I1,,,,,,,
D1 LAB 416,J1,,,,,,,
D1 LAB 416,J3, J4,,,,,,
D1 LAB 416,K2,,,,,,,
D1 LAB 416,M1,,,,,,,
D1 LAB 416,M4,,,,,,,
D1 LAB 416,N1,,,,,,,
D1 LAB 416,O1,,,,,,,
D1 LAB 416,O4,,,,,,,
D1 LAB 416,Q2,,,,,,,
D1 LAB 416,R1, R2,,,,,,
D1 LAB 416,Z2,,,,,,,
D1 LAB K08,G1, Z3, Z4,,,,,
D1 LAB K08,I1, I2,,,,,,
D1 LAB K08,I3, I4,,,,,,
D1 LAB K08,K3, K4,,,,,,
D1 LAB K08,M1, M2, M3, M4,,,,
D1 LAB K08,O1, S1, S2,,,,,
D1 LAB K08,P15,P16,,,,,,
D1 LAB K08,T1, T2, T3, T4,,,,
D1 LAB K08,TH 14, TH 15, TH 16, TH 17,,,,
D1 LAB K08,Z1, Z2,,,,,,
D1 LAB K08,Z3, Z4,,,,,,
D1 LAB K09,P12,P13,P14,P15,,,,
D1 LAB K09,R1, R2,,,,,,
D1 LAB K10,H1, H2, Q1, Q2,,,,
D1 LAB K10,L1, L2,,,,,,
D1 LAB K10,O1, O2, O4,,,,,
D1 LAB K10,P25,P26,,,,,,
D1 LAB K11,K3, K4,,,,,,
D1 LAB K11,L2, P21,,,,,,
D1 LAB K11,O4,,,,,,,
D1 LAB K11,P12,P13,P14,P15,,,,
D1 LAB K11,T1, T2,,,,,,
D1 LAB K12,M1, M2,,,,,,
D1 LAB K12,O1, O2, Q1, Q2,,,,
D1 LAB K12,O3, O4,,,,,,
D1 LAB K12,P1,P2,P3,P4,,,,
D1 LAB K12,P17,P18,,,,,,
D1 LAB K12,P6,P7,,,,,,
D1 LAB K12,T1,,,,,,,
D2 LAB 115 LABORATORY,O1, O2, O3,,,,,
D2 LAB 115 LABORATORY,P13,P14,P15,P16,,,,
D2 LAB 115 LABORATORY,P17,P18,P19,P20,,,,
D2 LAB 115 LABORATORY,P25,P26,P27,P28,,,,
D2 LAB 115 LABORATORY,P25,P26,P27,P28,,,,
D2 LAB 115 LABORATORY,Z1, Z2, P1,P2,P3,P4,,
D2 LAB 115 LABORATORY,P29,P30,P31,P32,,,,
D2 LAB 116 LABORATORY,P17,P18,P19,P20,,,,
D2 LAB 116 LABORATORY,P21,P22,P23,P24,,,,
D2 LAB 121 LABORATORY,P29,P30,P31,P32, S3, S4,,
D2 LAB 121 LABORATORY,S1, S2,,,,,,
D2 LAB 333 LABORATORY,M2, Q1, Q2, P6,P7,P8,P9,
D2 LAB 333 LABORATORY,P23,P24,P25,P26,P27,P28, O3, G3
D2 LAB ROOM 122,L1, L2,,,,,,
D2 LAB ROOM 122,M1, M2, M3, M4,,,,
D2 LAB ROOM 122,O2, T3, T4,,,,,
D2 LAB ROOM 122,Q1, Q2, Q3, Q4,,,,
D3 LAB 120 LABORATORY,M3, M4, H4,,,,,
D3 LAB 240 LABORATORY,O1, O2,,,,,,
D3 LAB 240 LABORATORY,P1,P2,P3,P4,,,,
D3 LAB 240 LABORATORY,P15,P16,P17,P18,P19,P20,,
D3 LAB 240 LABORATORY,P17,P18,P19,P20,,,,
D3 LAB 330 LABORATORY,N1, N2, N3, N4,,,,
D3 LAB 330 LABORATORY,P25,P26,P27,P28,,,,
D3 LAB 330 LABORATORY,P29,P30,P31,P32,,,,
E LES 100,J1, J2,,,,,,
E LES 100,J3, J4, C3, C4,,,,
E LES 100,K1, K2,,,,,,
E LES 100,L1, L2,,,,,,
E LES 100,M3, M4,,,,,,
E LES 100,N1, N2,,,,,,
E LES 100,P15,P16,,,,,,
E LES 100,T1, T2, T3,T4,,,,
E LES 200,C1, C2,,,,,,
E LES 200,H1, H2,,,,,,
E LES 200,I3,I4,,,,,,
E LES 200,K1, K2,,,,,,
E LES 200,L3, L4,,,,,,
E LES 200,Z1, Z2, Z4,,,,,
E LES 201 COMPUTER LABS,P25,P26,,,,,,
E LES 202 COMPUTER LAB,P7,P8,P9,,,,,
E LES 202 COMPUTER LAB,Q1, Q2,,,,,,
E RING COMPUTER LAB 203,P26,P27,P28, O3,,,,
E RING COMPUTER LAB 203,P7,P8,P9,,,,,
E RING COMPUTER LAB 204,P7,P8,P9,,,,,
E RING COMPUTER LAB 205,P26,P27,P28, O3,,,,
E RING COMPUTER LAB 205,P29,P30,,,,,,
E RING COMPUTER LAB 205,P31,P32,,,,,,
E RING COMPUTER LAB 205,P7,P8,P9,,,,,
E RING COMPUTER LAB 205,S3, S4,,,,,,
E RING COMPUTER LAB 206,P29,P30,,,,,,
E RING COMPUTER LAB 206,P31,P32,,,,,,
E RING COMPUTER LAB 206,P7,P8,P9,,,,,
E RING COMPUTER LAB 206,S3, S4,,,,,,
E RING COMPUTER LAB 207,P26,P27,P28, O3,,,,
E RING COMPUTER LAB 207,P29,P30,,,,,,
E RING COMPUTER LAB 207,P31,P32,,,,,,
E RING COMPUTER LAB 207,P7,P8,P9,,,,,
E RING COMPUTER LAB 207,S3, S4,,,,,,
E RING COMPUTER LAB 207, S3, S4,WE 17,,,,,
