"G1, N1, N2",B2 LAB 119
P13-16,B2 LAB 119
"",
"Z1, Z2, Z3, Z4",C LES 306
"Z1, Z2, Z3, Z4",C LES 306
"",
"Z1, Z2, Z3, Z4",C LES 306
"Z1, Z2, Z3, Z4",C LES 306
"",
"T1, T2, T3, T4",D LES 301
"T1, T2, T3, T4",D LES 301
"T1, T2, T3, T4",D LES 301
"",
"T1, T2, T3, T4",D LES 301
"T1, T2, T3, T4",D LES 301
"T1, T2, T3, T4",D LES 301
"",
"M1, M2, M3, M4",D LES 407
"M1, M2, M3, M4",D LES 407
"",
"M1, M2, M3, M4",D LES 407
"M1, M2, M3, M4",D LES 407
"",
"Q1, Q2, Q3, Q4",D LES 405
"Q1, Q2, Q3, Q4",D LES 405
"",
"Q1, Q2, Q3, Q4",D LES 405
"Q1, Q2, Q3, Q4",D LES 405
"",
"I1, I2",D1 LAB K08
"M3, M4",C LES 101
"M1, M2",C LES 304
"Q3, Q4",B LES 104
"",
"I3, I4",D1 LAB K08
"I1, I2",D1 LAB K08
"",
"T1, T2, T3, T4",E LES 100
"T1, T2, T3, T4",E LES 100
"T1, T2, T3, T4",E LES 100
"",
"T1, T2, T3, T4",E LES 100
"T1, T2, T3, T4",E LES 100
"T1, T2, T3, T4",E LES 100
"",
"M1, M2, M3, M4",D1 LAB K08
"M1, M2, M3, M4",D1 LAB K08
"M1, M2, M3, M4",D1 LAB K08
"",
"M1, M2, M3, M4",D1 LAB K08
"M1, M2, M3, M4",D1 LAB K08
"M1, M2, M3, M4",D1 LAB K08
"",
"H1, H2, T3, T4",D LES 102
"H1, H2, T3, T4",D LES 102
"H1, H2, T3, T4",D LES 304
"",
"H1, H2, T3, T4",D LES 102
"H1, H2, T3, T4",D LES 102
"H1, H2, T3, T4",C LES 204
"",
"H1, H2, J1, J2",D LAB BASEMENT K01
"H1, H2, J1, J2",D LAB BASEMENT K01
"",
"C1, C2, Q3, Q4",C LES 401
"",
"P1-2, P17-18",D LES 103
"P1-2, P17-18",D LES 103
"",
"L1, L2, L3, L4",C1 LAB 215
"L1, L2, L3, L4",C1 LAB 215
"",
"K1, K2",C LES 204
"S1, S2",C LES 202
"",
"K1, K2",C LES 204
"S1, S2",C LES 202
"",
"I1, I2, K3, K4",C LES 202
"I1, I2, K3, K4",C LES 202
"",
P25-28,C LES 201
P25-28,C LES 201
"",
"O1, O2, N1, N2",C1 LAB 215
"M1, M2, Q1, Q2",C1 LAB 215
P6-8,C1 LAB 215
"",
"O1, O2, N1, N2",C1 LAB 215
"M1, M2, Q1, Q2",C1 LAB 215
P6-8,C1 LAB 221
"",
"Z3, Z4",D1 LAB 108
"Z3, Z4",D1 LAB 108
"",
P8-9,D1 LAB 108
P8-9,D1 LAB 108
"",
P25-26,D1 LAB 108
P25-26,E LES 201
P25-26,E LES 202
"",
"L3, L4",E LES 200
"I3, I4",D LAB BASEMENT K01
"",
"H1, H2, J1, J2",D LAB BASEMENT K01
"H1, H2, J1, J2",D LAB BASEMENT K01
"",
"C1, C2, Q3, Q4",C LES 401
"C1, C2, Q3, Q4",D LES 102
"",
"P1-2, P17-18",D LES 103
"P1-2, P17-18",D LES 103
"",
"O1, O2, O3, O4",E LES 200
"O1, O2, O3, O4",C LES 102
"H3, H4",C LES 203
"H3, H4",C LES 204
"H3, H4",D LES 202
"H3, H4",D LES 203
"H3, H4",D LES 204
"H3, H4",D LES 106
"",
"T1, T2, R1, R2",D LES 201
"R3, R4",D LES 201
"",
"N1, N2, R1, R2",D LES 202
"K1, K2",C LES 202
"",
"O1, O2, O3, O4",E LES 200
"O1, O2, O3, O4",C LES 102
"",
"H3, H4",C LES 203
"H3, H4",C LES 204
"H3, H4",D LES 202
"H3, H4",D LES 203
"H3, H4",D LES 204
"H3, H4",D LES 106
"",
"G1, G2, G3",E LES 200
"G1, G2",B LES 103
G3,C LES 201
"C1, C2",C LES 202
"C1, C2",C LES 203
"C1, C2",C LES 102
"C1, C2",D LES 202
"",
"G1, G2, G3",E LES 200
"G1, G2",B LES 103
G3,C LES 201
"C1, C2",C LES 201
"C1, C2",C LES 202
"C1, C2",C LES 203
"C1, C2",D LES 202
"",
"N1, N2, N3, N4",C LES 309
"J3, J4, C3, C4",C LES 304
"",C LES 309
"J3, J4, C3, C4",C LES 304
"",
"Q1, Q2, Q3, Q4",C LES 201
P12-15,D1 LAB K09
"",
"J1, J2",D LAB BASEMENT K02
"J1, J2",D LAB BASEMENT K02
"",
"J1, J2",D LAB BASEMENT K02
"J1, J2",D LAB BASEMENT K02
"",
"S1, S2",D LES 203
"S1, S2",D LES 203
"",
"T1, T2",C LES 204
"",
"T1, T2",C LES 204
P25-28,C LES 201
"",
"O1, O2, S1, S2",B LES 100
K1,D1 LAB 404
K2,D1 LAB 415
N1,D1 LAB 402
N2,D1 LAB 414
I1,D1 LAB 410
I2,D LES 308
J1,D1 LAB 409
J2,D1 LAB 409
T3,C LES 301
T4,D1 LAB 415
"",
"N1, N2, S1, S2",A LES G01
"",
"N1, N2, S1, S2",A LES G01
"",
"U 14, TU 15, TU 16,
TU 17",D1 LAB K08
"I1, I2, R1, R2",B LES 101
M1,C LES 310
M1,D LES 312
M2,D1 LAB 414
M2,D1 LAB 415
L1,D1 LAB 408
L2,D1 LAB 412
L1,D1 LAB 409
M2,D LES 312
L2,D1 LAB 401
L1,D1 LAB 401
"",
"I1, I2, I3, I4",A LES G01
"I1, I2, I3, I4",A LES G01
"",
"N1, N2, L1, L2",C LES 101
P29-32,D2 LAB 115
P29-32,D2 LAB 116
"",
"O1, O2, T1, T2, J4, C3",C LES 101
"O1, O2, T1, T2, J4, C3",D LES 102
"",
"I2, R1",D1 LAB 405
T4,D1 LAB 402
"N2, H3",D1 LAB 410
O4,C LES 301
"K3, L2",D1 LAB 410
T4,D1 LAB 402
"M1, T3",D1 LAB 415
O4,C LES 301
"M1, T3",D1 LAB 402
O4,C LES 301
"K3, L2",D1 LAB 411
T4,D1 LAB 402
"N2, H3",D1 LAB 411
O4,C LES 301
"I2, R1",D1 LAB 411
T4,D1 LAB 402
"M4, I3",D1 LAB 406
T4,D1 LAB 402
"M4, I3",D1 LAB 407
O4,C LES 301
"I1, H4",D LES 405
T4,D1 LAB 402
"",
"O1, O2, T1, T2, J4, C3",C LES 101
"O1, O2, T1, T2, J4, C3",D LES 102
"",
"I2, R1",D1 LAB 405
T4,D1 LAB 402
"N2, H3",D1 LAB 410
O4,C LES 301
"K3, L2",D1 LAB 410
T4,D1 LAB 402
"M1, T3",D1 LAB 415
O4,C LES 301
"",C LES 301
"K3, L2",D1 LAB 411
T4,D1 LAB 402
"N2, H3",D1 LAB 411
O4,C LES 301
"I2, R1",D1 LAB 411
T4,D1 LAB 402
"M4, I3",D1 LAB 406
T4,D1 LAB 402
"M4, I3",D1 LAB 407
O4,C LES 301
"I1, H4",D LES 405
T4,D1 LAB 402
"",
"M3, M4, H4",C LES 201
P1-4,D3 LAB 240
P17-20,D3 LAB 240
"",
"Q1, Q2",D LES 304
T2,D LES 305
"",
"O1, O2, S1, S2",D LES 403
K1,D1 LAB 405
"",
I2,E LES 100
"M3, M4",D LES 301
I1,E LES 100
"",
"I1, I2",B LES 100
"",
"L3, L4, L1, L2",D LES 101
P21-24,D2 LAB 115
P21-24,D2 LAB 116
P29-32,D2 LAB 333
"",
"G1, G2, Z3, Z4",C LES 201
P13-20,D2 LAB 333
"P23-28, O3, G3",D2 LAB 333
"",
"G1, G2, Z3, Z4",C LES 201
P13-20,D2 LAB 333
"P23-28, O3, G3",D2 LAB 333
"",
"N1, N2, N3, N4",C LES 203
"M2, Q1, Q2, P6-9",D2 LAB 333
"Z1, Z2, P1-4, R3",D2 LAB 333
"",
"N1, N2, N3, N4",C LES 203
"M2, Q1, Q2, P6-9",D2 LAB 333
"Z1, Z2, P1-4, R3",D2 LAB 333
"",
"M1, M2, M3, M4",C LES 401
P13-16,D2 LAB 115
P13-16,D2 LAB 116
P25-28,D2 LAB 115
P25-28,D2 LAB 116
"O1, O2",D3 LAB 240
"Q1, Q2",D3 LAB 240
"",
"T1, T2, T3, T4",D LES 105
